Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison
Tmem184c	1451.932212	0.221804848	0.067650403	0.000106964	0.002907751	NLGF3.vs.WT3
Prkag1	989.0524978	-0.165404395	0.046158725	0.000107289	0.002911907	NLGF3.vs.WT3
Gm4887	17.12531442	-0.871096088	0.58336488	0.000108303	0.002931886	NLGF3.vs.WT3
Hist2h3b	107.986201	0.495718281	0.327669051	0.000108356	0.002931886	NLGF3.vs.WT3
Cbfa2t2	2231.468144	0.1363946	0.037047281	0.000109255	0.002951716	NLGF3.vs.WT3
Atg101	633.2691841	-0.265117604	0.095193882	0.000110327	0.002975929	NLGF3.vs.WT3
Nup153	1691.443314	0.225000397	0.069361772	0.000110624	0.002975929	NLGF3.vs.WT3
Ube2l3	2949.261677	0.17381745	0.049106931	0.000110654	0.002975929	NLGF3.vs.WT3
Acad9	945.3857548	-0.156323764	0.043309518	0.000111106	0.002983549	NLGF3.vs.WT3
Atmin	2353.919213	0.174724697	0.049449565	0.000111544	0.002990783	NLGF3.vs.WT3
Rps9	3257.475969	-0.189297157	0.054654213	0.000111804	0.002993235	NLGF3.vs.WT3
Paox	110.8655433	-0.277054262	0.107741128	0.000112081	0.002996147	NLGF3.vs.WT3
Ppif	379.0442098	0.216492634	0.065602538	0.000112858	0.003012376	NLGF3.vs.WT3
Fam222b	1141.157289	0.223004716	0.06862036	0.000113946	0.003032309	NLGF3.vs.WT3
Plekha3	998.5322976	0.203160036	0.060063953	0.000113892	0.003032309	NLGF3.vs.WT3
Myeov2	1270.599692	-0.241950029	0.078591692	0.000114552	0.003043856	NLGF3.vs.WT3
Spred2	3914.143819	0.163152605	0.045664677	0.000115451	0.003063167	NLGF3.vs.WT3
Avpi1	277.63491	-0.249115472	0.083321705	0.000116689	0.0030914	NLGF3.vs.WT3
Gm14680	43.92439415	-0.368033321	0.22107865	0.000118491	0.003129186	NLGF3.vs.WT3
Hypk	234.8288616	-0.245027085	0.080817654	0.000118645	0.003129186	NLGF3.vs.WT3
Psmb4	2682.363955	-0.256973678	0.089266054	0.000118393	0.003129186	NLGF3.vs.WT3
Eif3g	1429.539876	-0.202167189	0.059933682	0.000119915	0.003142302	NLGF3.vs.WT3
Gm30970	158.3096991	-0.87513558	0.609072565	0.00011984	0.003142302	NLGF3.vs.WT3
Mad1l1	544.9988357	-0.281341173	0.114364984	0.00011983	0.003142302	NLGF3.vs.WT3
Peo1	415.1701908	-0.222390252	0.068680829	0.000120027	0.003142302	NLGF3.vs.WT3
Rbm8a	1044.373427	-0.228234004	0.071515531	0.000120026	0.003142302	NLGF3.vs.WT3
Fut8	1924.046527	0.175270432	0.050002324	0.000122545	0.003198779	NLGF3.vs.WT3
Klf12	2534.266289	0.227743007	0.071412491	0.000122375	0.003198779	NLGF3.vs.WT3
LOC102632739	17.14328665	-0.881372461	0.623037943	0.000123471	0.003218211	NLGF3.vs.WT3
Kcnma1	12492.53128	0.181673496	0.052363464	0.000125245	0.003254898	NLGF3.vs.WT3
Rfx7	1455.069286	0.237020798	0.076523926	0.000125163	0.003254898	NLGF3.vs.WT3
Dhrs4	238.0598527	-0.263293635	0.095635457	0.000125894	0.003266984	NLGF3.vs.WT3
Pdhb	2219.846017	-0.175842589	0.05032996	0.000126559	0.003279446	NLGF3.vs.WT3
Hist1h2ac	53.96002138	0.416110475	0.271954481	0.000127865	0.003304521	NLGF3.vs.WT3
Psme2	420.7221039	-0.249057196	0.084303088	0.000127899	0.003304521	NLGF3.vs.WT3
Gm11478	309.4060608	-0.752550745	0.51799566	0.000128883	0.003325116	NLGF3.vs.WT3
Cfap20	507.2103537	0.198172366	0.058728755	0.000129268	0.003330203	NLGF3.vs.WT3
Tmem55a	1036.154871	0.25000081	0.085167877	0.000130071	0.00334603	NLGF3.vs.WT3
C1qtnf4	2757.825916	0.272495346	0.105898584	0.000130842	0.003360993	NLGF3.vs.WT3
Bloc1s2	312.9566329	-0.195910622	0.058026486	0.000134202	0.003439287	NLGF3.vs.WT3
Tmcc1	2835.039137	0.154312597	0.043265607	0.000134278	0.003439287	NLGF3.vs.WT3
Sfxn1	1135.37736	0.166495535	0.04737651	0.000136304	0.003486167	NLGF3.vs.WT3
Pclo	25031.81604	0.185722865	0.054253739	0.000137553	0.003513048	NLGF3.vs.WT3
H3f3a	2551.445125	-0.224075944	0.070519573	0.000138977	0.003539567	NLGF3.vs.WT3
Irak1bp1	401.9237447	0.2221093	0.069558585	0.000139	0.003539567	NLGF3.vs.WT3
Neurod1	594.2397554	0.264982357	0.099042741	0.00013928	0.003539567	NLGF3.vs.WT3
Tmem135	1374.183182	0.203197944	0.061156407	0.000139389	0.003539567	NLGF3.vs.WT3
Ago2	4571.216635	0.162744646	0.04619406	0.000139722	0.003542947	NLGF3.vs.WT3
Gclm	923.3016159	0.18763052	0.055062667	0.000140445	0.003556207	NLGF3.vs.WT3
Anapc15	258.252608	-0.206862096	0.062767182	0.000141282	0.003572289	NLGF3.vs.WT3
Poc1b	176.6410651	0.226732318	0.072059285	0.000142796	0.00360545	NLGF3.vs.WT3
Sf3b2	6923.461987	-0.209860769	0.064131092	0.000143063	0.003607066	NLGF3.vs.WT3
Eif5a	4039.129149	-0.198661645	0.059468979	0.000143687	0.003617651	NLGF3.vs.WT3
Txndc17	350.4875101	-0.221020405	0.069308861	0.00014457	0.003634728	NLGF3.vs.WT3
Nono	3204.610867	-0.184168749	0.053936032	0.000145778	0.003658458	NLGF3.vs.WT3
Tmem229a	2353.187667	0.219019295	0.068416144	0.000145926	0.003658458	NLGF3.vs.WT3
Coprs	329.2929322	-0.259325387	0.094441034	0.000146695	0.003667379	NLGF3.vs.WT3
Gm25380	17.34362933	-0.881146849	0.677609121	0.000146534	0.003667379	NLGF3.vs.WT3
Aifm1	475.5503919	-0.249764636	0.086491607	0.000147131	0.003673102	NLGF3.vs.WT3
LOC108169009	8.999125386	-0.872063394	0.673191806	0.000150445	0.003750559	NLGF3.vs.WT3
Gm27177	18.95487802	-0.809900301	0.597578279	0.000152394	0.003791558	NLGF3.vs.WT3
Usp4	2562.228252	-0.168443701	0.048470304	0.000152517	0.003791558	NLGF3.vs.WT3
Maf	632.6958055	0.234811138	0.077138246	0.000154604	0.003838073	NLGF3.vs.WT3
Arid1a	7928.593393	0.176897013	0.051543486	0.000155312	0.003844887	NLGF3.vs.WT3
Clptm1	4645.809174	0.17353922	0.050337202	0.000155312	0.003844887	NLGF3.vs.WT3
Nars	4349.820606	-0.207913695	0.063840158	0.000156971	0.003880547	NLGF3.vs.WT3
Foxo6	974.1794309	0.278851122	0.118356281	0.000157358	0.003884705	NLGF3.vs.WT3
Cc2d1b	591.1397208	-0.205884675	0.062987233	0.00015765	0.003886503	NLGF3.vs.WT3
Uqcc1	1064.340361	-0.154848728	0.043984801	0.000158213	0.003894968	NLGF3.vs.WT3
Chd2	1994.328199	-0.182087773	0.053549987	0.000158976	0.003900106	NLGF3.vs.WT3
Nhsl2	4247.073714	0.200998041	0.060960813	0.000158709	0.003900106	NLGF3.vs.WT3
Nup88	1051.749158	-0.167687637	0.048369147	0.00015908	0.003900106	NLGF3.vs.WT3
Brcc3	540.412238	0.260490467	0.097034637	0.000159935	0.003910258	NLGF3.vs.WT3
Fbxo28	1341.52631	0.156191822	0.044466163	0.000159821	0.003910258	NLGF3.vs.WT3
Hif1a	2165.580444	0.237276384	0.079025495	0.000161403	0.003940725	NLGF3.vs.WT3
Arhgap19	101.594958	-0.275637156	0.114951044	0.000162314	0.003957522	NLGF3.vs.WT3
Atxn7l1	1172.561653	0.166993588	0.048224442	0.000163149	0.003972413	NLGF3.vs.WT3
Kcnq3	10065.45741	0.203003209	0.062095283	0.000167117	0.004063456	NLGF3.vs.WT3
Gm42256	110.457111	0.335883894	0.199370305	0.000168282	0.004086181	NLGF3.vs.WT3
Gabra5	3622.975677	0.255729359	0.093477143	0.000169571	0.004106246	NLGF3.vs.WT3
Tead1	1245.315872	0.274981417	0.115241268	0.000169351	0.004106246	NLGF3.vs.WT3
Morc2a	1464.43974	-0.16883816	0.049029019	0.000169856	0.004107524	NLGF3.vs.WT3
Tbc1d12	452.8769064	0.220385799	0.070168891	0.000170086	0.004107524	NLGF3.vs.WT3
Dcc	2251.25263	0.206972641	0.063940939	0.000170821	0.004119672	NLGF3.vs.WT3
Morf4l1-ps1	74.89479321	-0.331869967	0.195306661	0.000172243	0.004148326	NLGF3.vs.WT3
Xkr4	5110.365336	0.229718058	0.075338058	0.00017524	0.004214778	NLGF3.vs.WT3
Diablo	335.0164133	-0.177172361	0.052184175	0.000176157	0.004231104	NLGF3.vs.WT3
Gm12250	10.45507548	-0.854919529	0.730656341	0.000177855	0.004266111	NLGF3.vs.WT3
Kctd18	186.8015744	-0.223798484	0.072316	0.000179318	0.004295396	NLGF3.vs.WT3
Mansc1	323.3036551	0.253556775	0.092477911	0.000180252	0.004307989	NLGF3.vs.WT3
St13	3718.881492	-0.206628792	0.064122111	0.000180329	0.004307989	NLGF3.vs.WT3
Tmed7	2421.173124	0.254146379	0.09318521	0.000182166	0.004346037	NLGF3.vs.WT3
Atp6v0b	1803.79128	-0.215216101	0.068214709	0.000184148	0.00438403	NLGF3.vs.WT3
Lsamp	15360.68557	0.181289087	0.053921272	0.000184253	0.00438403	NLGF3.vs.WT3
Atp1b2	12345.64512	0.198377106	0.060775982	0.000186739	0.004428215	NLGF3.vs.WT3
LOC100044633	15.84408403	-0.692348599	0.524554822	0.000186858	0.004428215	NLGF3.vs.WT3
Vps36	464.4790463	-0.214075587	0.06776661	0.00018673	0.004428215	NLGF3.vs.WT3
Dhrs7	475.3910017	-0.240902811	0.0830274	0.000188122	0.004446289	NLGF3.vs.WT3
Rab2b	687.354198	0.194562616	0.059232241	0.000187934	0.004446289	NLGF3.vs.WT3
Ahsa1	2162.864042	-0.186650492	0.056113442	0.000189459	0.004471937	NLGF3.vs.WT3
Mrps21	566.8406292	-0.194622587	0.05931494	0.000189969	0.004472078	NLGF3.vs.WT3
Tdg-ps	17.77975873	-0.837096363	0.727386886	0.000189885	0.004472078	NLGF3.vs.WT3
Fbxl16	22433.07667	0.235337962	0.079474305	0.000190511	0.004478896	NLGF3.vs.WT3
Use1	992.1242546	-0.22205541	0.07189719	0.000190799	0.004479741	NLGF3.vs.WT3
Dynll2	13110.28958	-0.208860425	0.065508242	0.000191566	0.004485882	NLGF3.vs.WT3
Mien1	687.485953	-0.187287701	0.056417489	0.000191557	0.004485882	NLGF3.vs.WT3
Dnajc9	453.0832412	-0.181799022	0.05436475	0.0001944	0.004531322	NLGF3.vs.WT3
Fam219b	535.3149986	-0.191591853	0.058208187	0.000194499	0.004531322	NLGF3.vs.WT3
LOC108168747	103.3008578	0.252013493	0.092297244	0.000194528	0.004531322	NLGF3.vs.WT3
Tufm	1148.683909	-0.202060105	0.062565161	0.000193987	0.004531322	NLGF3.vs.WT3
Acaca	3712.23557	-0.172282126	0.050852885	0.000196016	0.004554043	NLGF3.vs.WT3
Gm4349	14.25316496	-0.72059916	0.559003166	0.000195786	0.004554043	NLGF3.vs.WT3
Etfa	662.720808	-0.232367276	0.078000157	0.000197672	0.004568597	NLGF3.vs.WT3
Gpr137b	273.3765663	0.199299076	0.061486818	0.000197553	0.004568597	NLGF3.vs.WT3
Stox2	7374.191057	0.113548282	0.031613161	0.000197392	0.004568597	NLGF3.vs.WT3
Tmem101	413.9175204	-0.22334168	0.072853332	0.000197476	0.004568597	NLGF3.vs.WT3
Tmem165	537.5318079	0.207894355	0.06528731	0.000198157	0.004573838	NLGF3.vs.WT3
Cdk5rap3	591.1826954	-0.240610831	0.083473746	0.000198927	0.004585657	NLGF3.vs.WT3
Cpeb2	2333.517975	0.245281267	0.087088004	0.000200944	0.004603625	NLGF3.vs.WT3
Gapdh-ps15	10.03080066	-0.810216114	0.6890341	0.000200766	0.004603625	NLGF3.vs.WT3
Nat10	764.0439913	-0.208496228	0.065634073	0.000200344	0.004603625	NLGF3.vs.WT3
Timm22	414.575076	-0.21027936	0.066480898	0.000201003	0.004603625	NLGF3.vs.WT3
Traf6	676.3292571	0.193176105	0.059006829	0.000200232	0.004603625	NLGF3.vs.WT3
Prune2	2285.125429	0.221126724	0.071845601	0.000201506	0.00460918	NLGF3.vs.WT3
Usp18	26.81179484	-0.44555366	0.325848148	0.000201866	0.004611491	NLGF3.vs.WT3
Fabp7	491.0063624	-0.338545499	0.211749193	0.000203396	0.00464046	NLGF3.vs.WT3
Sgpp1	965.7487317	0.225236124	0.074148292	0.000203819	0.004644147	NLGF3.vs.WT3
Auts2	4753.999634	0.213998866	0.068372435	0.000204577	0.004655438	NLGF3.vs.WT3
P2ry13	241.1084326	0.234141014	0.079473278	0.000205118	0.004661766	NLGF3.vs.WT3
Snrnp70	1900.904479	-0.218320556	0.070617739	0.000207271	0.004704684	NLGF3.vs.WT3
Nom1	728.8111429	-0.190520208	0.058123568	0.000207793	0.004710502	NLGF3.vs.WT3
Pdia6	2304.271665	-0.234248972	0.079772556	0.000209724	0.004748212	NLGF3.vs.WT3
1700096K18Rik	45.66459261	0.286540651	0.139082562	0.000210061	0.004749786	NLGF3.vs.WT3
Gabrb1	8509.265598	0.238784558	0.082874621	0.000210936	0.004763497	NLGF3.vs.WT3
Rexo2	815.0145516	-0.175305148	0.052308108	0.000211859	0.004772209	NLGF3.vs.WT3
Ubxn1	1414.750241	-0.253452009	0.095085186	0.000211726	0.004772209	NLGF3.vs.WT3
Tmem70	592.9740261	0.192047184	0.058879137	0.000213023	0.004792339	NLGF3.vs.WT3
Mtpap	496.4077854	0.240351184	0.084126173	0.000213319	0.004792927	NLGF3.vs.WT3
Srr	1791.972138	0.182271121	0.055022627	0.00021476	0.004819213	NLGF3.vs.WT3
Mnat1	409.4891458	-0.24125982	0.084902891	0.000215201	0.004822998	NLGF3.vs.WT3
Fmn2	3987.91081	0.153349783	0.044561747	0.000215881	0.004832131	NLGF3.vs.WT3
Gm15927	65.12544385	0.271393154	0.117501513	0.000217127	0.004847807	NLGF3.vs.WT3
Tmem199	512.1857686	-0.203851755	0.064042339	0.000216995	0.004847807	NLGF3.vs.WT3
Thumpd1	1095.555529	-0.199420366	0.062110867	0.000217728	0.004855106	NLGF3.vs.WT3
Cdr1	25872.59881	0.404610423	0.291433724	0.000219741	0.004893536	NLGF3.vs.WT3
Gpat4	2431.994222	-0.181417252	0.054808583	0.000220002	0.004893536	NLGF3.vs.WT3
Cwc15	1011.906202	-0.174742657	0.05228178	0.000220714	0.004903224	NLGF3.vs.WT3
Snrpd2	1183.414274	-0.236722539	0.082026826	0.000221855	0.004922409	NLGF3.vs.WT3
Prpf18	1033.65399	-0.179515661	0.054137301	0.000222879	0.004938953	NLGF3.vs.WT3
Klhl12	1053.536723	-0.199112548	0.062174037	0.000224995	0.004975932	NLGF3.vs.WT3
Naf1	441.3562097	0.243185887	0.086970432	0.000225108	0.004975932	NLGF3.vs.WT3
Slc24a2	26777.71774	0.212105887	0.068198972	0.000227003	0.005011579	NLGF3.vs.WT3
Atp6v0d1	4599.247726	0.173864228	0.05209499	0.000227794	0.005022782	NLGF3.vs.WT3
Mcu	1097.99082	0.190134249	0.058526017	0.000230687	0.005080267	NLGF3.vs.WT3
Calcrl	227.6968287	0.285772493	0.141823391	0.00023219	0.005105899	NLGF3.vs.WT3
F8a	367.9073546	0.228102644	0.076991451	0.000232426	0.005105899	NLGF3.vs.WT3
Skida1	517.1282487	0.237265944	0.082988706	0.00023325	0.005117655	NLGF3.vs.WT3
Chm	1291.508648	0.272300919	0.121217508	0.000234078	0.005126304	NLGF3.vs.WT3
Sprn	5307.549543	0.21897252	0.071923243	0.000234222	0.005126304	NLGF3.vs.WT3
Tmem129	493.0612936	0.191401433	0.059149548	0.000234954	0.00513601	NLGF3.vs.WT3
Hhex	32.96441025	0.338720569	0.219540118	0.000235651	0.005144904	NLGF3.vs.WT3
Xpc	489.2609813	-0.203082638	0.064249165	0.000236658	0.005160533	NLGF3.vs.WT3
Bnip3l-ps	69.52327293	-0.519278034	0.404930781	0.000237321	0.005166919	NLGF3.vs.WT3
Sart1	1381.084345	-0.245696042	0.089821818	0.000237533	0.005166919	NLGF3.vs.WT3
Polr1c	412.2034483	-0.189492342	0.058453504	0.000238952	0.005191433	NLGF3.vs.WT3
Cables2	764.956306	0.205775712	0.065591561	0.000240554	0.00521347	NLGF3.vs.WT3
Golga4	3297.9806	-0.167194951	0.049863415	0.000240366	0.00521347	NLGF3.vs.WT3
Mlh1	193.5807335	-0.202196604	0.064012449	0.000242774	0.005255175	NLGF3.vs.WT3
Mapk10	10084.91803	0.155995178	0.045925956	0.000244039	0.005276122	NLGF3.vs.WT3
Gm5946	28.33376348	-0.732679866	0.629150146	0.000245266	0.005296195	NLGF3.vs.WT3
Ppp2r5c	4846.462019	0.14626064	0.0426397	0.000247649	0.005341155	NLGF3.vs.WT3
Ube2a	613.7305385	0.249155985	0.093751957	0.000248864	0.005360853	NLGF3.vs.WT3
Sar1a	2663.401374	-0.155625683	0.045901456	0.000250859	0.005397276	NLGF3.vs.WT3
Adh5	1010.177107	-0.165746192	0.049536507	0.000252107	0.005417564	NLGF3.vs.WT3
Anapc13	485.3866455	-0.262928923	0.110275809	0.000254148	0.005423539	NLGF3.vs.WT3
Creb3	839.4541608	-0.245037195	0.090244767	0.00025341	0.005423539	NLGF3.vs.WT3
Gm41914	36.799119	0.422388366	0.319511735	0.000254524	0.005423539	NLGF3.vs.WT3
Kcnc3	6193.19038	0.252050508	0.097085073	0.000254259	0.005423539	NLGF3.vs.WT3
Necap2	654.0132634	-0.210422031	0.068169218	0.000253221	0.005423539	NLGF3.vs.WT3
Prkar1a	17844.34989	-0.175250984	0.053121828	0.000254059	0.005423539	NLGF3.vs.WT3
Txndc16	1921.397572	-0.163693862	0.048807751	0.000253158	0.005423539	NLGF3.vs.WT3
Celf4	13965.95629	0.214695571	0.070367506	0.000254931	0.005425694	NLGF3.vs.WT3
Smg7	3929.780415	0.116890664	0.033266314	0.00025635	0.005449361	NLGF3.vs.WT3
Cops3	746.9148351	0.209242517	0.067758015	0.000259059	0.005500357	NLGF3.vs.WT3
Npas3	863.2629356	0.199560196	0.063248097	0.000259369	0.005500364	NLGF3.vs.WT3
Rasa1	1731.620104	0.23928518	0.085844815	0.000259778	0.005501248	NLGF3.vs.WT3
Zfp729b	311.8994797	0.287232328	0.148929315	0.000260031	0.005501248	NLGF3.vs.WT3
Nxt1	124.1988694	-0.236118994	0.083551154	0.000261523	0.005526238	NLGF3.vs.WT3
Uap1	1201.812079	-0.196897882	0.062148811	0.000262796	0.005546519	NLGF3.vs.WT3
Oaz1-ps	202.7793928	-0.555956698	0.45038719	0.000266329	0.005614413	NLGF3.vs.WT3
Zswim1	647.8441482	0.196492379	0.062114778	0.000269046	0.00566497	NLGF3.vs.WT3
Bri3	358.3144693	0.238999029	0.086151547	0.000270179	0.005682077	NLGF3.vs.WT3
Ak2	345.2997108	-0.205009704	0.066052044	0.000271294	0.005692039	NLGF3.vs.WT3
Cnot4	1696.187206	0.215367096	0.071209114	0.000271142	0.005692039	NLGF3.vs.WT3
Rbm27	1790.188884	0.155619479	0.046204932	0.000271653	0.005692844	NLGF3.vs.WT3
Elavl3	7671.405528	0.173933657	0.05294576	0.000272403	0.00569512	NLGF3.vs.WT3
Rfxap	531.3520784	0.185502035	0.057521028	0.000272153	0.00569512	NLGF3.vs.WT3
Kdelr2	633.9355865	0.201587946	0.064521727	0.000273939	0.005720494	NLGF3.vs.WT3
Cnksr2	12230.84079	0.208179235	0.067691259	0.000275707	0.00575064	NLGF3.vs.WT3
Paqr3	435.3730043	0.205949066	0.066632361	0.000276509	0.005760597	NLGF3.vs.WT3
Oraov1	264.2573038	-0.223825508	0.076131317	0.000277269	0.005769672	NLGF3.vs.WT3
LOC108167942	96.28703712	0.261732887	0.111149168	0.000277624	0.005770293	NLGF3.vs.WT3
Ndufb4	723.2951151	-0.227079541	0.078149507	0.000278143	0.005774321	NLGF3.vs.WT3
Gm9855	10.39847617	-0.710848102	0.638788894	0.000278855	0.005782331	NLGF3.vs.WT3
Rtn4r	2195.036865	0.245384659	0.092346302	0.00028257	0.005847933	NLGF3.vs.WT3
Trim33	2718.044997	0.174225815	0.053234235	0.000282678	0.005847933	NLGF3.vs.WT3
A930004D18Rik	67.54956625	0.249699554	0.096819932	0.000284551	0.005857811	NLGF3.vs.WT3
Emc4	1020.946343	-0.196723867	0.062545489	0.000283652	0.005857811	NLGF3.vs.WT3
Surf6	478.015161	-0.229794662	0.080163979	0.000285055	0.005857811	NLGF3.vs.WT3
Thbs4	612.2918991	-0.336327301	0.226921728	0.000285135	0.005857811	NLGF3.vs.WT3
Ykt6	1790.571353	-0.195143226	0.061874541	0.000284972	0.005857811	NLGF3.vs.WT3
Zcchc2	968.0293373	0.149881763	0.044366906	0.000284087	0.005857811	NLGF3.vs.WT3
Tlr3	344.9586757	0.27137692	0.126849947	0.000285757	0.005863793	NLGF3.vs.WT3
Tpx2	73.33419608	-0.264481398	0.116224073	0.000287373	0.005890146	NLGF3.vs.WT3
Manea	1007.597624	0.261168136	0.111576657	0.000289388	0.005924612	NLGF3.vs.WT3
Fdps	1199.928111	-0.214323484	0.071208482	0.00029007	0.005926991	NLGF3.vs.WT3
Rab11fip2	2242.041255	0.203480675	0.065794479	0.000290172	0.005926991	NLGF3.vs.WT3
Ap5m1	534.8556844	0.250887466	0.098650199	0.000291912	0.005928788	NLGF3.vs.WT3
Fam8a1	2023.317063	0.232383424	0.082168512	0.000290896	0.005928788	NLGF3.vs.WT3
Gm14586	25.99439334	-0.398153531	0.303883312	0.0002936	0.005928788	NLGF3.vs.WT3
Gm5854	16.38088903	-0.724741677	0.722369336	0.000292657	0.005928788	NLGF3.vs.WT3
Hexb	1459.21726	0.213947774	0.071100175	0.000293294	0.005928788	NLGF3.vs.WT3
LOC108169130	303.9318667	0.275913242	0.135312972	0.00029283	0.005928788	NLGF3.vs.WT3
Ndufa8	1663.922239	-0.169348948	0.051543287	0.000293357	0.005928788	NLGF3.vs.WT3
Nme3	408.399236	-0.197755816	0.063197354	0.000292243	0.005928788	NLGF3.vs.WT3
Sec13	973.5335901	-0.169247624	0.051477986	0.000291633	0.005928788	NLGF3.vs.WT3
Srd5a3	317.9886308	0.183797018	0.057191311	0.0002914	0.005928788	NLGF3.vs.WT3
Lamtor3	731.3490152	-0.189141332	0.059478451	0.000294575	0.005934963	NLGF3.vs.WT3
Xpr1	4877.166815	0.20050909	0.064501849	0.000294344	0.005934963	NLGF3.vs.WT3
Aff4	10331.32127	0.155491436	0.046496376	0.000296056	0.005958046	NLGF3.vs.WT3
Tfg	1089.755959	0.204019232	0.066250884	0.000298599	0.006002421	NLGF3.vs.WT3
Fam213b	1008.653912	-0.264782996	0.118125438	0.000300034	0.006017638	NLGF3.vs.WT3
Mafk	356.8419095	-0.228569039	0.079914049	0.000299947	0.006017638	NLGF3.vs.WT3
Cacna2d1	6730.870769	0.228437262	0.079887538	0.000301601	0.006042231	NLGF3.vs.WT3
Raph1	2300.681963	0.232405834	0.082661746	0.000302623	0.006055867	NLGF3.vs.WT3
Ntpcr	378.2426011	-0.210825564	0.069763364	0.000304157	0.006079707	NLGF3.vs.WT3
Hnrnph2	2655.651692	-0.232036759	0.082482803	0.000304747	0.006084665	NLGF3.vs.WT3
Tsfm	306.6123859	-0.239360366	0.088192311	0.000305281	0.006088464	NLGF3.vs.WT3
Rpl10a	1897.224937	-0.203740627	0.066286088	0.000305808	0.006092134	NLGF3.vs.WT3
Hmgcs1	8148.921348	-0.217658281	0.073492937	0.00030639	0.006094205	NLGF3.vs.WT3
Mrpl32	201.3264294	0.26387981	0.117502335	0.000306942	0.006094205	NLGF3.vs.WT3
Utp14b	669.9761257	-0.247745821	0.096242799	0.000306833	0.006094205	NLGF3.vs.WT3
Rps14	5375.497261	-0.255223993	0.105328047	0.000309708	0.006142257	NLGF3.vs.WT3
Hist1h4m	120.5890155	0.36878594	0.273832275	0.000311388	0.006168672	NLGF3.vs.WT3
Mbnl2	6518.019199	0.210187324	0.069636973	0.000312056	0.00617502	NLGF3.vs.WT3
Wdr61	596.2558878	-0.163134239	0.049514998	0.000313755	0.006201732	NLGF3.vs.WT3
Mef2a	5476.46247	0.192540899	0.061350372	0.000315253	0.006217489	NLGF3.vs.WT3
Ugt1a6a	12.86758314	0.600061645	0.518992709	0.000315195	0.006217489	NLGF3.vs.WT3
Hspa9	5006.288365	-0.161382789	0.048903216	0.000316349	0.006232178	NLGF3.vs.WT3
Trps1	2105.914182	0.220403707	0.075428185	0.000318444	0.006266497	NLGF3.vs.WT3
Cdk14	8881.281821	0.172891266	0.053353841	0.000322515	0.006339584	NLGF3.vs.WT3
Cct2	3401.505269	-0.144861542	0.043131868	0.000326026	0.006380445	NLGF3.vs.WT3
Fam171b	10989.35712	0.184574225	0.05813097	0.000326032	0.006380445	NLGF3.vs.WT3
Ncf2	101.948792	-0.238528176	0.088473135	0.000325896	0.006380445	NLGF3.vs.WT3
Snx10	2252.441745	0.221660721	0.076387262	0.000325302	0.006380445	NLGF3.vs.WT3
Ing4	623.4278692	-0.18374411	0.057804284	0.000327204	0.006390554	NLGF3.vs.WT3
Med1	2425.957647	0.116985571	0.033936375	0.000327628	0.006390554	NLGF3.vs.WT3
Tbc1d5	1333.843279	0.182869688	0.057443098	0.000327337	0.006390554	NLGF3.vs.WT3
Hars2	345.3829406	-0.209126753	0.06951705	0.000329362	0.00641027	NLGF3.vs.WT3
Sfpq	3047.715097	0.17380155	0.053812675	0.000329252	0.00641027	NLGF3.vs.WT3
LOC108168809	25.58655882	-0.681844874	0.655258511	0.000329915	0.006414018	NLGF3.vs.WT3
Kpna2	473.5695229	-0.204125343	0.067031377	0.00033047	0.006417777	NLGF3.vs.WT3
Ssu72	769.684306	-0.23296678	0.084213733	0.000331094	0.006422854	NLGF3.vs.WT3
Borcs7	391.7957123	0.21725646	0.074100239	0.000336017	0.006506919	NLGF3.vs.WT3
Lhx2	1803.124733	0.208076864	0.069138676	0.00033616	0.006506919	NLGF3.vs.WT3
Kcnip4	788.3101148	0.252891633	0.104511104	0.000337243	0.006520772	NLGF3.vs.WT3
Preb	1224.206436	-0.173898112	0.053981222	0.000337972	0.00652776	NLGF3.vs.WT3
Gm14634	23.05239719	0.367856478	0.278472609	0.000338988	0.006540263	NLGF3.vs.WT3
Gm36556	65.94032612	0.253631233	0.105927247	0.000342676	0.00660043	NLGF3.vs.WT3
Nudt19	956.3092628	0.192008843	0.061642656	0.000343222	0.00660043	NLGF3.vs.WT3
Rabggtb	673.9248916	-0.191004733	0.061195948	0.000343128	0.00660043	NLGF3.vs.WT3
Prpf31	683.6190965	-0.225845949	0.079632149	0.000344078	0.006609725	NLGF3.vs.WT3
Mesdc2	1138.29588	-0.184098409	0.058246268	0.000344725	0.006614992	NLGF3.vs.WT3
Ube2e3	1638.388691	0.198009474	0.064428793	0.000345898	0.006630329	NLGF3.vs.WT3
Sec24a	864.5776423	0.228195202	0.081330102	0.000346983	0.006643966	NLGF3.vs.WT3
Atp5g3	3460.097192	-0.176263266	0.055071369	0.000347855	0.006653482	NLGF3.vs.WT3
Rab10	3372.34182	0.221131754	0.076788248	0.000349698	0.006681524	NLGF3.vs.WT3
Gm5785	119.5644362	0.243488805	0.094420137	0.000351036	0.00669269	NLGF3.vs.WT3
Gm996	3737.053844	0.218108326	0.075002576	0.000350944	0.00669269	NLGF3.vs.WT3
Gripap1	2223.064627	-0.216499129	0.074082252	0.000351551	0.006695307	NLGF3.vs.WT3
Herc2	19921.18149	-0.212803653	0.072166848	0.000358024	0.00681129	NLGF3.vs.WT3
